9780136019,Mohamed Ali,m.ali@gmail.com,10000.5,01254698321,12-2008
9780135102,Omar Ahmed,omar@outlook.com,40000.7,01122553164,12-2015
123456,malek,lulu@email,229000,0123456789,12-2023
123457,mewe,mewe@meme,95000,012233445566,3-2023
123458,mqqqq,lulu@email,0,0123456789,3-2023
123459,mcccc,lulu@email,120000,0123456789,3-2023
123450,mddddk,lulu@email,120000,0123456789,3-2023
123451,meeeek,lulu@email,120000,0123456789,3-2023
123452,mhhhhh,lulu@email,120000,0123456789,3-2023
123453,mkkkk,lulu@email,120000,0123456789,3-2023
123454,muuuuk,lulu@email,120000,0123456789,3-2023
123455,mtttt,lulu@email,20000,0123456789,3-2023
123499,mppppp,lulu@email,120000,0123456789,3-2023
123411,mmmmm,lulu@email,120000,0123456789,3-2023
123422,mnnnnn,lulu@email,120000,0123456789,3-2023
123433,mbbbb,lulu@email,120000,0123456789,3-2023
123444,mvvvv,lulu@email,0.05,0123456789,3-2023
112233,obadah saleh,boda@saleh,62506,123456,12-2023
111,date,111,0,111,12-2023
1111,boda,male36879@_.j,60000,0123456456,12-2023
100566545,mohamed nour,khjfghjfhg@gmail.com,0,6645120554,12-2023
